Item,QtQuantityy,Description
 --------------------- , -------- , ----------- 
ISO4032 Nut M3,9,M3 hex nut
ISO4032 Nut M5,8,M5 hex nut
ISO4035 Nut M4,2,M4 hex nut
ISO4762 Screw M2.5x12,2,Socket head
ISO4762 Screw M2x10,2,Socket head
ISO4762 Screw M3x1,4,Socket head
ISO4762 Screw M3x10,28,Socket head
ISO4762 Screw M3x12,16,Socket head
ISO4762 Screw M3x14,6,Socket head
ISO4762 Screw M3x15,14,Socket head
ISO4762 Screw M3x16,4,Socket head
ISO4762 Screw M3x20,5,Socket head
ISO4762 Screw M3x25,10,Socket head
ISO4762 Screw M3x35,11,Socket head
ISO4762 Screw M3x40,10,Socket head
ISO4762 Screw M3x45,3,Socket head
ISO4762 Screw M3x5,2,Socket head
ISO4762 Screw M3x6,9,Socket head
ISO4762 Screw M3x70,6,Socket head
ISO4762 Screw M3x8,35,Socket head
ISO4762 Screw M4x12,3,Socket head
ISO4762 Screw M6x12,47,Socket head
ISO4762 Screw M6x8,12,Socket head
ISO7090 Washer M5,14,washer
ISO7090 Washer M6,178,washer
ISO7092 Washer M3,98,washer
ISO7380-1 Screw M3x10,14,Button head
ISO7380-1 Screw M3x14,3,Button head
ISO7380-1 Screw M3x15,1,Button head
ISO7380-1 Screw M3x6,21,Button head
ISO7380-1 Screw M3x8,2,Button head
ISO7380-1 Screw M4x25,2,Button head
ISO7380-1 Screw M5x10,6,Button head
ISO7380-1 Screw M5x15,2,Button head
ISO7380-1 Screw M5x22,3,Button head
ISO7380-1 Screw M5x25,2,Button head
ISO7380-1 Screw M5x30,1,Button head
ISO7380-1 Screw M5x40,5,Button head
ISO7380-1 Screw M5x50,8,Button head
ISO7380-1 Screw M5x8,11,Button head
ISO7380-1 Screw M6x10,53,Button head
ISO7380-1 Screw M6x12,26,Button head
ISO7380-1 Screw M6x15,4,Button head
ISO7380-1 Screw M6x16,8,Button head
ISO7380-1 Screw M6x30,6,Button head
ISO7380-1 Screw M8x12,2,Button head
ISO7380-1 Screw M8x20,22,Button head
ISO7380-1 Screw M8x25,4,Button head
